SR. NO.;AIRPORT;IATA
77001;PUNE AIRPORT;PNQ
77002;INDIRA GANDHI INTERNATIONAL, NEW DELHI;DEL
77003;RAJIV GANDHI INTERNATIONAL, HYDERABAD;HYD
77004;CHENNAI INTERNATIONAL, CHENNAI;MAA
77005;CHANDIGARH AIRPORT, CHANDIGARH;IXC
77006;CHHATRAPATI SHIVAJI INTERNATIONAL, MUMBAI;BOM
77007;SARDAR VALLABHBHAI PATEL INTERNATIONAL, AHMEDABAD;AMD
77008;RAJA BHOJ INTERNATIONAL, BHOPAL;BHO
77009;NETAJI SUBHASH CHANDRA BOSE INTERNATIONAL, KOLKATA;CCU
77010;DR. BABASAHEB AMBEDKAR INTERNATIONAL AIRPORT,NAGPUR;NAG
77011;GANDHINAGAR AIRPORT, NASHIK;ISK
77012;RAJA SANSI INTERNATIONAL AIRPORT, AMRITSAR;ATQ
77013;LOKPRIYA GOPINATH BORDOLOI AIRPORT, GAWAHATI;GAU
77014;BENGALURU INTERNATIONAL AIRPORT;BLR
77015;MANGALORE INTERNATIONAL AIRPORT ;IXE
77016;CHIKHALTHANA AIRPORT, AURANGABAD;IXU
77017;SHIMLA AIRPORT;SLV
77018;JAMMU AIRPORT;IXJ
77019;LEH KUSHOK BAKULA RIMPOCHEE AIRPORT;IXL
77020;SRINAGAR AIR FORCE STATION;SXR
77021; DEVI AHILYABAI HOLKAR AIRPORT, INDORE;IDR
77022;MAHARANA PRATAP AIRPORT, DABOK AIRPORT, UDAIPUR;UDR
77023;COIMBATORE INTERNATIONAL AIRPORT;CJB
77024;CHAUDHARY CHARAN SINGH INTERNATIONAL AIRPORT, LUCKNOW;LKO
77025;BIJU PATNAIK AIRPORT,BHUBANESWAR;BBI
77026;COCHIN INTERNATIONAL AIRPORTNEDUMBASSERY AIRPORT ;COK
77027;DABOLIM AIRPORT, GOA;GOI
77028;LOK NAYAK JAYAPRAKASH AIRPORT, PATNA;PAT
77029;VISAKHAPATNAM AIRPORT;VTZ
77030;PORT BLAIR AIR FORCE STATION ;IXZ
77031;KOTA AIRPORT;KTU
